feature,gain_pct,split_pct,gain_rank,split_rank,avg_rank
D_ret_5d_roll_std,5.481738248958296,4.159399608900164,1,2,1.5
D_cmf20,4.70343105352666,3.4247661328682413,2,5,3.5
D_obv,4.606140064453382,4.909888483695365,3,1,2.0
D_vol_yz_50,4.463128018625295,3.815865969029121,4,3,3.5
D_bb_bw_20,3.4239068192365636,2.8751123090745736,5,9,7.0
D_range_pct,3.4022111862653026,1.6172506738544474,6,27,16.5
D_atr_pct_z252,3.334750718554375,3.5727498546588445,7,4,5.5
D_gap_pct,3.0337417643713747,1.9079329845145605,8,20,14.0
D_vol_yz_20,2.9320667660015376,3.0072406321018974,9,6,7.5
D_close_roll_slope_50,2.634276678757735,2.9332487712065958,10,7,8.5
D_days_since_bol_20,2.449883772343651,2.912108239522224,11,8,9.5
D_days_since_boh_20,2.331755121971948,2.203900428095767,12,11,11.5
D_ema20_angle_deg,2.0542501863835447,1.3107129644310556,13,38,25.5
D_atr30,2.035355946082488,2.3994503461762062,14,10,12.0
D_pdi14,1.9561152479449777,2.108768035516093,15,13,14.0
D_rsi7,1.9043096885742627,1.6013952750911684,16,28,22.0
D_atr14_to_close_pct,1.8794876071150775,2.0347761746207915,17,18,17.5
D_close_roll_slope_20,1.847727530455146,2.129908567200465,18,12,15.0
D_atr14,1.8009176176204271,1.7810897944083293,19,23,21.0
D_dollar_vol,1.784572086171086,2.0400613075418845,20,16,18.0
D_macd_signal,1.7650202207251924,1.9026478515934677,21,21,21.0
D_donch_pos_50,1.700790876596992,2.0400613075418845,22,16,19.0
D_dvol_z20,1.6818414582490906,1.5062628825114952,23,31,27.0
D_macd_hist,1.6756738598685317,2.1034829025950006,24,14,19.0
D_rsi14_z252,1.6397655191887666,1.9502140478833043,25,19,22.0
D_range_to_atr14,1.629320640669248,1.4798372179060304,26,33,29.5
D_obv_slope_lag1,1.6119728684686634,1.5855398763278898,27,29,28.0
D_mdi14,1.5816446397037203,2.0400613075418845,28,16,22.0
D_adx14_lag2,1.510690615690189,1.7546641298028645,29,24,26.5
D_macd,1.4657889396866597,1.53268854711696,30,30,30.0
D_ema20_angle_z252,1.4074868881709146,1.67538713598647,31,25,28.0
D_dvol_z252,1.401807284010428,1.8392262565403519,32,22,27.0
D_adx14,1.346110641903763,1.6383912055388195,33,26,29.5
D_bb_pctB_20,1.3415161085058243,1.4745520849849374,34,34,34.0
D_rsi14_obv_x,1.305997350548981,0.628930817610063,35,51,43.0
D_rsi14_lag2,1.2353186640927114,1.3107129644310556,36,38,37.0
D_cpr_width_pct,1.1878234443470606,1.2790021669044975,37,41,39.0
D_prev_low,1.1340966552205687,0.5443686908725754,38,53,45.5
D_obv_slope_lag2,1.0267374879349795,1.4956926166693092,39,32,35.5
D_vol_z252,1.0087284521132067,1.384704825326357,40,35,37.5
D_ema20_angle_deg_lag1,0.9904625768810379,1.3054278315099623,41,40,40.5
D_adx14_lag1,0.9618262446498599,1.3529940277997992,42,36,39.0
D_dvol_z50,0.9604793301806792,1.3107129644310556,43,38,40.5
D_atr_pct,0.9039984035840345,1.0253157866920355,44,44,44.0
D_rsi14,0.8584497003811711,0.9460387928756407,45,45,45.0
D_donch_pos_20,0.8216725123833738,1.046456318376407,46,42,44.0
D_rsi14_lag1,0.7438187334241907,0.9301833941123618,47,46,46.5
D_oli,0.729792638981337,1.0411711854553143,48,43,45.5
D_support2,0.5776708438572752,0.6395010834522488,49,49,49.0
D_rsi7_obv_x,0.5609308111513512,0.7082078114264574,50,48,49.0
D_weekly_vpoc,0.547956175453009,0.607790285925691,51,52,51.5
D_prev_high,0.5218887647716423,0.6342159505311559,52,50,51.0
D_rsi7_gt_rsi14,0.5194469548208778,0.14798372179060304,53,62,57.5
D_obv_slope,0.5134148308456455,0.7134929443475504,54,47,50.5
D_resistance2,0.45268283714281643,0.5126578933460177,55,54,54.5
D_prev_close,0.3457586664932908,0.40167010200306535,56,56,56.0
D_cpr_bc,0.3250192920530572,0.42281063368743727,57,55,56.0
D_support1,0.31670605892053266,0.3858147032397865,58,57,57.5
D_resistance1,0.3086698080872462,0.3435336398710428,59,58,58.5
D_cpr_tc,0.27179302938899363,0.2906823106601131,60,60,60.0
D_cpr_pivot,0.22803557291883358,0.2853971777390202,61,61,61.0
D_cpr_vs_yday_code,0.19635679190450334,0.12684319010623119,62,63,62.5
D_dow,0.14811376317985583,0.30125257650229903,63,59,61.0
D_daily_trend,0.07946014484933077,0.058136462132022615,64,68,66.0
D_nr_day,0.07177959426860347,0.11098779134295228,65,64,64.5
D_tmr_cpr_tc,0.052824257830579445,0.06342159505311559,66,67,66.5
D_pivot,0.049805412108342134,0.07399186089530152,67,65,66.0
D_tmr_cpr_bc,0.03874425093660745,0.042281063368743724,68,70,69.0
D_breakout_high_20,0.03859363062086613,0.021140531684371862,69,73,71.0
D_prev_inside_day,0.036107298684435116,0.06870672797420854,70,66,68.0
D_inside_day,0.029283109928834514,0.04756619628983669,71,69,70.0
D_breakout_low_50,0.01569431566579957,0.02642566460546483,72,71,71.5
D_vpoc,0.013330560142736272,0.010570265842185931,73,77,75.0
D_vol_surge_20,0.012459724402578705,0.010570265842185931,74,77,75.5
D_tmr_cpr_vs_today_code,0.011732321579539993,0.015855398763278898,75,74,74.5
D_nr_length,0.009388701884419535,0.02642566460546483,76,71,73.5
D_breakout_low_20,0.007859274004315697,0.010570265842185931,77,77,77.0
D_vol_surge_50,0.007746901750437898,0.015855398763278898,78,74,76.0
D_breakout_high_50,0.0023474207793377,0.0052851329210929655,79,79,79.0
CPR_Yday_Above,0.0,0.0,86,86,86.0
CPR_Yday_Below,0.0,0.0,86,86,86.0
CPR_Yday_Inside,0.0,0.0,86,86,86.0
CPR_Yday_Overlap,0.0,0.0,86,86,86.0
CPR_Tmr_Above,0.0,0.0,86,86,86.0
CPR_Tmr_Below,0.0,0.0,86,86,86.0
CPR_Tmr_Inside,0.0,0.0,86,86,86.0
CPR_Tmr_Overlap,0.0,0.0,86,86,86.0
DayType_bullish,0.0,0.0,86,86,86.0
DayType_bearish,0.0,0.0,86,86,86.0
DayType_inside,0.0,0.0,86,86,86.0
regime_market_trend,0.0,0.0,86,86,86.0
regime_high_vol,0.0,0.0,86,86,86.0
regime_dispersion,0.0,0.0,86,86,86.0
