feature_a,feature_b,spearman_corr,keep,drop_candidate,ic_a,ic_b
D_cpr_bc,D_prev_high,1.0,D_cpr_bc,D_prev_high,0.0279,0.0279
D_cpr_bc,D_prev_close,1.0,D_cpr_bc,D_prev_close,0.0279,0.0279
D_cpr_bc,D_pivot,1.0,D_pivot,D_cpr_bc,0.0279,0.028
D_cpr_bc,D_cpr_tc,1.0,D_cpr_tc,D_cpr_bc,0.0279,0.028
D_cpr_bc,D_cpr_pivot,1.0,D_cpr_pivot,D_cpr_bc,0.0279,0.028
D_cpr_bc,D_resistance2,1.0,D_resistance2,D_cpr_bc,0.0279,0.0285
D_cpr_bc,D_resistance1,1.0,D_resistance1,D_cpr_bc,0.0279,0.0282
D_cpr_bc,D_prev_low,1.0,D_cpr_bc,D_prev_low,0.0279,0.0275
D_pivot,D_prev_close,1.0,D_pivot,D_prev_close,0.028,0.0279
D_pivot,D_resistance2,1.0,D_resistance2,D_pivot,0.028,0.0285
D_pivot,D_support1,1.0,D_pivot,D_support1,0.028,0.0277
D_pivot,D_resistance1,1.0,D_resistance1,D_pivot,0.028,0.0282
D_pivot,D_prev_low,1.0,D_pivot,D_prev_low,0.028,0.0275
D_pivot,D_weekly_vpoc,1.0,D_pivot,D_weekly_vpoc,0.028,0.0278
D_prev_close,D_prev_high,1.0,D_prev_high,D_prev_close,0.0279,0.0279
D_pivot,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_pivot,0.028,0.028
D_pivot,D_vpoc,1.0,D_vpoc,D_pivot,0.028,0.028
D_prev_close,D_prev_low,1.0,D_prev_close,D_prev_low,0.0279,0.0275
D_prev_close,D_resistance1,1.0,D_resistance1,D_prev_close,0.0279,0.0282
D_pivot,D_tmr_cpr_bc,1.0,D_pivot,D_tmr_cpr_bc,0.028,0.0279
D_pivot,D_support2,1.0,D_pivot,D_support2,0.028,0.0274
D_cpr_vs_yday_code,D_tmr_cpr_vs_today_code,1.0,D_tmr_cpr_vs_today_code,D_cpr_vs_yday_code,0.0303,0.0303
D_cpr_tc,D_weekly_vpoc,1.0,D_cpr_tc,D_weekly_vpoc,0.028,0.0278
D_cpr_tc,D_vpoc,1.0,D_cpr_tc,D_vpoc,0.028,0.028
D_cpr_tc,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_cpr_tc,0.028,0.028
D_cpr_tc,D_tmr_cpr_bc,1.0,D_cpr_tc,D_tmr_cpr_bc,0.028,0.0279
D_cpr_tc,D_support2,1.0,D_cpr_tc,D_support2,0.028,0.0274
D_cpr_tc,D_support1,1.0,D_cpr_tc,D_support1,0.028,0.0277
D_cpr_tc,D_resistance2,1.0,D_resistance2,D_cpr_tc,0.028,0.0285
D_cpr_tc,D_resistance1,1.0,D_resistance1,D_cpr_tc,0.028,0.0282
D_cpr_tc,D_prev_low,1.0,D_cpr_tc,D_prev_low,0.028,0.0275
D_cpr_tc,D_prev_high,1.0,D_cpr_tc,D_prev_high,0.028,0.0279
D_cpr_tc,D_prev_close,1.0,D_cpr_tc,D_prev_close,0.028,0.0279
D_cpr_tc,D_pivot,1.0,D_cpr_tc,D_pivot,0.028,0.028
D_cpr_pivot,D_weekly_vpoc,1.0,D_cpr_pivot,D_weekly_vpoc,0.028,0.0278
D_cpr_pivot,D_vpoc,1.0,D_vpoc,D_cpr_pivot,0.028,0.028
D_cpr_pivot,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_cpr_pivot,0.028,0.028
D_cpr_pivot,D_tmr_cpr_bc,1.0,D_cpr_pivot,D_tmr_cpr_bc,0.028,0.0279
D_cpr_pivot,D_support2,1.0,D_cpr_pivot,D_support2,0.028,0.0274
D_cpr_pivot,D_support1,1.0,D_cpr_pivot,D_support1,0.028,0.0277
D_cpr_pivot,D_resistance2,1.0,D_resistance2,D_cpr_pivot,0.028,0.0285
D_cpr_pivot,D_resistance1,1.0,D_resistance1,D_cpr_pivot,0.028,0.0282
D_cpr_pivot,D_prev_low,1.0,D_cpr_pivot,D_prev_low,0.028,0.0275
D_cpr_pivot,D_prev_high,1.0,D_cpr_pivot,D_prev_high,0.028,0.0279
D_cpr_pivot,D_prev_close,1.0,D_cpr_pivot,D_prev_close,0.028,0.0279
D_cpr_pivot,D_pivot,1.0,D_pivot,D_cpr_pivot,0.028,0.028
D_cpr_pivot,D_cpr_tc,1.0,D_cpr_tc,D_cpr_pivot,0.028,0.028
D_cpr_bc,D_weekly_vpoc,1.0,D_cpr_bc,D_weekly_vpoc,0.0279,0.0278
D_cpr_bc,D_vpoc,1.0,D_vpoc,D_cpr_bc,0.0279,0.028
D_cpr_bc,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_cpr_bc,0.0279,0.028
D_cpr_bc,D_tmr_cpr_bc,1.0,D_tmr_cpr_bc,D_cpr_bc,0.0279,0.0279
D_cpr_bc,D_support2,1.0,D_cpr_bc,D_support2,0.0279,0.0274
D_cpr_bc,D_support1,1.0,D_cpr_bc,D_support1,0.0279,0.0277
D_resistance2,D_tmr_cpr_bc,1.0,D_resistance2,D_tmr_cpr_bc,0.0285,0.0279
D_resistance2,D_tmr_cpr_tc,1.0,D_resistance2,D_tmr_cpr_tc,0.0285,0.028
D_resistance2,D_vpoc,1.0,D_resistance2,D_vpoc,0.0285,0.028
D_resistance2,D_weekly_vpoc,1.0,D_resistance2,D_weekly_vpoc,0.0285,0.0278
D_support1,D_support2,1.0,D_support1,D_support2,0.0277,0.0274
D_support1,D_tmr_cpr_bc,1.0,D_tmr_cpr_bc,D_support1,0.0277,0.0279
D_support1,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_support1,0.0277,0.028
D_support1,D_vpoc,1.0,D_vpoc,D_support1,0.0277,0.028
D_tmr_cpr_bc,D_weekly_vpoc,1.0,D_tmr_cpr_bc,D_weekly_vpoc,0.0279,0.0278
D_tmr_cpr_bc,D_vpoc,1.0,D_vpoc,D_tmr_cpr_bc,0.0279,0.028
D_tmr_cpr_bc,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_tmr_cpr_bc,0.0279,0.028
D_support2,D_weekly_vpoc,1.0,D_weekly_vpoc,D_support2,0.0274,0.0278
D_support2,D_vpoc,1.0,D_vpoc,D_support2,0.0274,0.028
D_support2,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_support2,0.0274,0.028
D_support2,D_tmr_cpr_bc,1.0,D_tmr_cpr_bc,D_support2,0.0274,0.0279
D_support1,D_weekly_vpoc,1.0,D_weekly_vpoc,D_support1,0.0277,0.0278
D_tmr_cpr_tc,D_vpoc,1.0,D_tmr_cpr_tc,D_vpoc,0.028,0.028
D_tmr_cpr_tc,D_weekly_vpoc,1.0,D_tmr_cpr_tc,D_weekly_vpoc,0.028,0.0278
D_prev_low,D_support1,1.0,D_support1,D_prev_low,0.0275,0.0277
D_prev_low,D_support2,1.0,D_prev_low,D_support2,0.0275,0.0274
D_prev_low,D_tmr_cpr_bc,1.0,D_tmr_cpr_bc,D_prev_low,0.0275,0.0279
D_prev_low,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_prev_low,0.0275,0.028
D_prev_low,D_vpoc,1.0,D_vpoc,D_prev_low,0.0275,0.028
D_prev_low,D_weekly_vpoc,1.0,D_weekly_vpoc,D_prev_low,0.0275,0.0278
D_resistance1,D_resistance2,1.0,D_resistance2,D_resistance1,0.0282,0.0285
D_resistance1,D_support1,1.0,D_resistance1,D_support1,0.0282,0.0277
D_resistance1,D_support2,1.0,D_resistance1,D_support2,0.0282,0.0274
D_resistance1,D_tmr_cpr_bc,1.0,D_resistance1,D_tmr_cpr_bc,0.0282,0.0279
D_resistance1,D_tmr_cpr_tc,1.0,D_resistance1,D_tmr_cpr_tc,0.0282,0.028
D_resistance1,D_vpoc,1.0,D_resistance1,D_vpoc,0.0282,0.028
D_resistance1,D_weekly_vpoc,1.0,D_resistance1,D_weekly_vpoc,0.0282,0.0278
D_resistance2,D_support1,1.0,D_resistance2,D_support1,0.0285,0.0277
D_vpoc,D_weekly_vpoc,1.0,D_vpoc,D_weekly_vpoc,0.028,0.0278
D_prev_high,D_vpoc,1.0,D_vpoc,D_prev_high,0.0279,0.028
D_prev_high,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_prev_high,0.0279,0.028
D_prev_high,D_tmr_cpr_bc,1.0,D_tmr_cpr_bc,D_prev_high,0.0279,0.0279
D_prev_high,D_support2,1.0,D_prev_high,D_support2,0.0279,0.0274
D_prev_high,D_support1,1.0,D_prev_high,D_support1,0.0279,0.0277
D_prev_high,D_resistance2,1.0,D_resistance2,D_prev_high,0.0279,0.0285
D_prev_high,D_resistance1,1.0,D_resistance1,D_prev_high,0.0279,0.0282
D_prev_high,D_prev_low,1.0,D_prev_high,D_prev_low,0.0279,0.0275
D_prev_close,D_weekly_vpoc,1.0,D_prev_close,D_weekly_vpoc,0.0279,0.0278
D_prev_close,D_vpoc,1.0,D_vpoc,D_prev_close,0.0279,0.028
D_prev_close,D_tmr_cpr_tc,1.0,D_tmr_cpr_tc,D_prev_close,0.0279,0.028
D_prev_close,D_tmr_cpr_bc,1.0,D_tmr_cpr_bc,D_prev_close,0.0279,0.0279
D_pivot,D_prev_high,1.0,D_pivot,D_prev_high,0.028,0.0279
D_prev_low,D_resistance2,1.0,D_resistance2,D_prev_low,0.0275,0.0285
D_prev_low,D_resistance1,1.0,D_resistance1,D_prev_low,0.0275,0.0282
D_prev_high,D_weekly_vpoc,1.0,D_prev_high,D_weekly_vpoc,0.0279,0.0278
D_prev_close,D_support2,1.0,D_prev_close,D_support2,0.0279,0.0274
D_prev_close,D_support1,1.0,D_prev_close,D_support1,0.0279,0.0277
D_prev_close,D_resistance2,1.0,D_resistance2,D_prev_close,0.0279,0.0285
D_resistance2,D_support2,0.999,D_resistance2,D_support2,0.0285,0.0274
D_rsi14_obv_x,D_rsi7_obv_x,0.997,D_rsi14_obv_x,D_rsi7_obv_x,0.031,0.0298
D_atr14_to_close_pct,D_atr_pct,0.995,D_atr_pct,D_atr14_to_close_pct,0.0389,0.0397
D_obv_slope,D_rsi14_obv_x,0.994,D_rsi14_obv_x,D_obv_slope,0.0295,0.031
D_obv_slope,D_rsi7_obv_x,0.991,D_rsi7_obv_x,D_obv_slope,0.0295,0.0298
D_adx14_lag1,D_adx14_lag2,0.991,D_adx14_lag1,D_adx14_lag2,0.0215,0.0208
D_adx14,D_adx14_lag1,0.991,D_adx14_lag1,D_adx14,0.0214,0.0215
D_adx14,D_adx14_lag2,0.972,D_adx14,D_adx14_lag2,0.0214,0.0208
D_atr14,D_atr30,0.969,D_atr14,D_atr30,0.0349,0.0331
D_bb_pctB_20,D_rsi7,0.959,D_rsi7,D_bb_pctB_20,0.0316,0.0393
D_ema20_angle_z252,D_rsi14_z252,0.956,D_ema20_angle_z252,D_rsi14_z252,0.0307,0.0271
D_atr14,D_resistance2,0.953,D_atr14,D_resistance2,0.0349,0.0285
D_atr14,D_resistance1,0.952,D_atr14,D_resistance1,0.0349,0.0282
D_atr14,D_prev_high,0.952,D_atr14,D_prev_high,0.0349,0.0279
D_atr14,D_cpr_bc,0.951,D_atr14,D_cpr_bc,0.0349,0.0279
D_atr14,D_pivot,0.951,D_atr14,D_pivot,0.0349,0.028
D_atr14,D_cpr_pivot,0.951,D_atr14,D_cpr_pivot,0.0349,0.028
D_atr14,D_tmr_cpr_tc,0.951,D_atr14,D_tmr_cpr_tc,0.0349,0.028
D_atr14,D_cpr_tc,0.951,D_atr14,D_cpr_tc,0.0349,0.028
D_dvol_z252,D_vol_z252,0.951,D_vol_z252,D_dvol_z252,0.0212,0.0222
D_atr14,D_weekly_vpoc,0.951,D_atr14,D_weekly_vpoc,0.0349,0.0278
D_atr14,D_vpoc,0.951,D_atr14,D_vpoc,0.0349,0.028
D_atr14,D_tmr_cpr_bc,0.951,D_atr14,D_tmr_cpr_bc,0.0349,0.0279
D_atr14,D_prev_close,0.95,D_atr14,D_prev_close,0.0349,0.0279
D_atr14,D_support1,0.949,D_atr14,D_support1,0.0349,0.0277
D_atr14,D_prev_low,0.949,D_atr14,D_prev_low,0.0349,0.0275
D_atr14,D_support2,0.948,D_atr14,D_support2,0.0349,0.0274
D_atr30,D_resistance2,0.938,D_atr30,D_resistance2,0.0331,0.0285
D_atr30,D_cpr_pivot,0.937,D_atr30,D_cpr_pivot,0.0331,0.028
D_atr30,D_resistance1,0.937,D_atr30,D_resistance1,0.0331,0.0282
D_atr30,D_prev_high,0.937,D_atr30,D_prev_high,0.0331,0.0279
D_atr30,D_prev_close,0.937,D_atr30,D_prev_close,0.0331,0.0279
D_atr30,D_cpr_bc,0.937,D_atr30,D_cpr_bc,0.0331,0.0279
D_atr30,D_cpr_tc,0.937,D_atr30,D_cpr_tc,0.0331,0.028
D_atr30,D_vpoc,0.937,D_atr30,D_vpoc,0.0331,0.028
D_atr30,D_pivot,0.937,D_atr30,D_pivot,0.0331,0.028
D_atr30,D_weekly_vpoc,0.937,D_atr30,D_weekly_vpoc,0.0331,0.0278
D_atr30,D_tmr_cpr_bc,0.937,D_atr30,D_tmr_cpr_bc,0.0331,0.0279
D_atr30,D_tmr_cpr_tc,0.937,D_atr30,D_tmr_cpr_tc,0.0331,0.028
D_rsi14_lag1,D_ema20_angle_deg_lag1,0.936,D_ema20_angle_deg_lag1,D_rsi14_lag1,0.0213,0.0231
D_atr30,D_prev_low,0.936,D_atr30,D_prev_low,0.0331,0.0275
D_ema20_angle_deg,D_rsi14,0.936,D_ema20_angle_deg,D_rsi14,0.0285,0.0254
D_atr30,D_support1,0.936,D_atr30,D_support1,0.0331,0.0277
D_atr30,D_support2,0.935,D_atr30,D_support2,0.0331,0.0274
D_rsi14_lag1,D_rsi14_lag2,0.933,D_rsi14_lag1,D_rsi14_lag2,0.0213,0.0205
D_rsi14,D_rsi14_lag1,0.932,D_rsi14,D_rsi14_lag1,0.0254,0.0213
D_bb_pctB_20,D_donch_pos_20,0.931,D_bb_pctB_20,D_donch_pos_20,0.0316,0.0269
D_ema20_angle_deg,D_rsi7,0.929,D_rsi7,D_ema20_angle_deg,0.0285,0.0393
D_rsi14,D_rsi7,0.928,D_rsi7,D_rsi14,0.0254,0.0393
D_bb_pctB_20,D_ema20_angle_deg,0.922,D_bb_pctB_20,D_ema20_angle_deg,0.0316,0.0285
D_macd,D_macd_signal,0.918,D_macd_signal,D_macd,0.0128,0.0159
D_donch_pos_20,D_rsi7,0.914,D_rsi7,D_donch_pos_20,0.0269,0.0393
D_atr_pct,D_vol_yz_20,0.913,D_vol_yz_20,D_atr_pct,0.0397,0.0404
D_donch_pos_20,D_ema20_angle_deg,0.908,D_ema20_angle_deg,D_donch_pos_20,0.0269,0.0285
D_atr14_to_close_pct,D_vol_yz_20,0.904,D_vol_yz_20,D_atr14_to_close_pct,0.0389,0.0404
D_bb_pctB_20,D_rsi14,0.904,D_bb_pctB_20,D_rsi14,0.0316,0.0254
D_ema20_angle_deg,D_ema20_angle_deg_lag1,0.903,D_ema20_angle_deg,D_ema20_angle_deg_lag1,0.0285,0.0231
D_donch_pos_20,D_rsi14,0.893,D_donch_pos_20,D_rsi14,0.0269,0.0254
D_donch_pos_50,D_rsi14,0.892,D_rsi14,D_donch_pos_50,0.0207,0.0254
D_rsi14,D_rsi14_z252,0.889,D_rsi14_z252,D_rsi14,0.0254,0.0271
D_atr14_to_close_pct,D_vol_yz_50,0.882,D_atr14_to_close_pct,D_vol_yz_50,0.0389,0.0243
D_ema20_angle_deg,D_ema20_angle_z252,0.88,D_ema20_angle_z252,D_ema20_angle_deg,0.0285,0.0307
D_ema20_angle_z252,D_rsi7,0.877,D_rsi7,D_ema20_angle_z252,0.0307,0.0393
D_atr_pct,D_vol_yz_50,0.876,D_atr_pct,D_vol_yz_50,0.0397,0.0243
D_vol_yz_20,D_vol_yz_50,0.876,D_vol_yz_20,D_vol_yz_50,0.0404,0.0243
D_rsi14,D_ema20_angle_deg_lag1,0.875,D_rsi14,D_ema20_angle_deg_lag1,0.0254,0.0231
D_dvol_z20,D_dvol_z50,0.875,D_dvol_z20,D_dvol_z50,0.0264,0.0198
D_bb_pctB_20,D_ema20_angle_z252,0.874,D_bb_pctB_20,D_ema20_angle_z252,0.0316,0.0307
D_ema20_angle_deg,D_rsi14_z252,0.872,D_ema20_angle_deg,D_rsi14_z252,0.0285,0.0271
D_rsi14_z252,D_rsi7,0.871,D_rsi7,D_rsi14_z252,0.0271,0.0393
D_close_roll_slope_50,D_macd_signal,0.869,D_macd_signal,D_close_roll_slope_50,0.0086,0.0159
D_bb_pctB_20,D_rsi14_z252,0.864,D_bb_pctB_20,D_rsi14_z252,0.0316,0.0271
D_rsi14,D_rsi14_lag2,0.864,D_rsi14,D_rsi14_lag2,0.0254,0.0205
D_nr_day,D_nr_length,0.864,D_nr_day,D_nr_length,0.0197,0.0184
D_ema20_angle_z252,D_rsi14,0.853,D_ema20_angle_z252,D_rsi14,0.0307,0.0254
D_rsi14_lag2,D_ema20_angle_deg_lag1,0.85,D_ema20_angle_deg_lag1,D_rsi14_lag2,0.0205,0.0231
