quarter,D_atr14,D_cpr_width_pct,D_adx14,D_atr14_to_close_pct,D_atr30,D_atr_pct,D_atr_pct_z252,D_bb_bw_20,D_bb_pctB_20,D_breakout_high_20,D_breakout_high_50,D_breakout_low_20,D_breakout_low_50,D_close_roll_slope_20,D_close_roll_slope_50,D_cmf20,D_cpr_bc,D_cpr_pivot,D_cpr_tc,D_cpr_vs_yday_code,D_daily_trend,D_days_since_boh_20,D_days_since_bol_20,D_dollar_vol,D_donch_pos_20,D_donch_pos_50,D_dow,D_dvol_z20,D_dvol_z252,D_dvol_z50,D_ema20_angle_deg,D_ema20_angle_z252,D_gap_pct,D_inside_day,D_macd,D_macd_hist,D_macd_signal,D_mdi14,D_nr_day,D_nr_length,D_obv,D_obv_slope,D_oli,D_pdi14,D_pivot,D_prev_close,D_prev_high,D_prev_inside_day,D_prev_low,D_range_pct,D_range_to_atr14,D_resistance1,D_resistance2,D_ret_5d_roll_std,D_rsi14,D_rsi14_obv_x,D_rsi14_z252,D_rsi7,D_rsi7_gt_rsi14,D_rsi7_obv_x,D_support1,D_support2,D_tmr_cpr_bc,D_tmr_cpr_tc,D_tmr_cpr_vs_today_code,D_vol_surge_20,D_vol_surge_50,D_vol_yz_20,D_vol_yz_50,D_vol_z252,D_vpoc,D_weekly_vpoc,D_rsi14_lag1,D_rsi14_lag2,D_adx14_lag1,D_adx14_lag2,D_ema20_angle_deg_lag1,D_obv_slope_lag1,D_obv_slope_lag2,CPR_Yday_Above,CPR_Yday_Below,CPR_Yday_Inside,CPR_Yday_Overlap,CPR_Tmr_Above,CPR_Tmr_Below,CPR_Tmr_Inside,CPR_Tmr_Overlap,DayType_bullish,DayType_bearish,DayType_inside,regime_market_trend,regime_high_vol,regime_dispersion
2020Q1,2.9764983325719183,2.079569824677635,0.0,0.553635770012785,0.0,0.0739476398361488,0.0,3.1650975650908344,2.287936188455906,0.0,0.0,0.8252983460610588,0.05786478547003911,2.2285142711683568,0.6501843422411329,5.816150448996721,0.23025412896280845,0.2598824262844231,0.3111630021789345,0.1119072042390848,0.10392421285429744,0.9891683990493277,0.8393858647513885,3.5129505061110065,3.134299211990463,0.687735103150804,0.445523046602373,2.072830904807808,0.0,1.3572765529986255,3.644351499169533,0.0,2.1013786262640948,0.0,1.2806899443108375,2.5305330829161985,2.7197009945901005,1.0697174526826103,0.10803563560301645,0.0,2.8571400226258397,1.526752896605311,1.4316905117508039,1.5023343672963536,0.2398211509567624,0.39382188038653027,0.5137148729552462,0.025137941495406914,0.43333630525728045,2.911159068632897,1.1234995972537565,0.5083157135444842,0.7789709393838165,2.036378031959185,2.535755842732464,1.2323938788315199,0.0,6.5144381968959095,0.09448150125042173,2.6878872155437907,0.3531280965731365,1.350916648744192,0.1418128019267376,0.10599403509571126,0.0,0.0,0.0,3.163174295907032,2.951466951664243,0.0,0.037888585957802236,0.5077478828687761,2.0317605921578394,1.6868169165728963,0.0,0.0,2.2031400771199365,5.690345536513987,2.20337232943966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q2,3.5556254885173444,0.9486768749176157,1.6125734664345348,2.2296807399485754,1.993304403750828,1.7835686504352757,0.0,2.820124924405387,2.17684904053463,0.0,0.01302456751605384,0.0,0.0,2.9485071982936755,2.8546043498772145,2.854634258657088,0.5132900637030612,0.3306107504460939,0.5166403908285293,0.03623963082155124,0.03955827696088671,2.102425880377199,5.245121078380265,4.00489395975743,1.1618015445200507,1.8120256966031267,0.17742712326751017,1.3180896761628318,0.1439273179145303,1.6896131548593647,1.288393179329524,0.5156581981701014,1.5020694446531064,0.01984303846395116,2.1798017770192213,2.3140923279691012,1.9429562509788865,1.76528485382917,0.0131912658068205,0.060019199927141414,2.7811348499919437,0.7992239188616905,1.2567068532410832,1.8329150999316095,0.03572249552471925,0.5169863930689357,0.5279381403779374,0.039090247114909354,0.6767225042055737,1.6667729634220723,1.3127961951971525,0.45550008618065213,0.530899389975265,3.9529200173245793,1.808352890308999,0.7041542296245094,0.0,2.549679586539441,0.16107615670372358,0.36160832541325094,0.36020988066708737,1.0479283396225394,0.08273397023908546,0.08167982539919943,0.0,0.0,0.0,4.912069462985853,4.66754090135783,0.16184592765903674,0.0,0.9529392415852761,0.9647966610456846,2.427529441475653,0.7670146054671232,1.5809896142935855,1.386963800125404,0.8056252769038645,1.3457846641270514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q3,1.9769183780062272,0.9640933565191036,1.7837067704945155,2.0887992417468677,2.6609677563619254,0.5407346889434341,2.9293688856704794,3.396734821091224,0.8654386065206352,0.007541161530999335,0.03286208233630104,0.0,0.0,2.13253713086879,3.362689693050642,2.7685555565690434,0.2667764485589147,0.32937080611394287,0.39520175606566016,0.045314662272050846,0.08226596231240835,2.334347046376721,6.250928414649043,1.9571603565606406,1.042652047925408,2.533045375960883,0.15502164025768406,1.0107523426025382,0.7165494182069099,1.1569123119186964,0.5264449942300687,2.458366500534829,1.6610613098746834,0.0,2.017778279909525,2.5567914960491462,2.1721682597529104,2.082863081356719,0.05479584211146015,0.008428382129258838,4.642592157735213,0.5648320937645159,0.6368083165161553,2.5574445851196113,0.028100285960638696,0.3840811133885254,0.4216723240300233,0.032303997825517135,0.5473972304202757,0.8394142544292937,0.7568045520121741,0.5551399387209074,0.49574870049412556,4.206142170450759,0.8501424247820969,0.5569474886682796,1.8345839654785638,1.0944608908052484,0.08500080484957293,1.2386581315658756,0.35290099117703405,0.6026541089195193,0.015091843720587143,0.12937790659703813,0.0052807595872229815,0.033646193534894855,0.0,3.354857212702731,4.424795317568395,1.4653628387741198,0.0,0.8621605816645743,0.5957642882905153,1.1507724800090233,1.6691320305686814,2.0457190082561483,0.8304891070344249,1.4212703254777392,1.3865047136596866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q4,1.7523747163634635,0.8683397695813919,1.4824754253530545,2.587923115534396,2.594142568220601,1.8333727148669317,3.2023372840918074,2.457322975941127,1.348840074747401,0.0,0.012017564528225718,0.021568216127375747,0.0,2.8467096728880854,4.120062850712072,3.6185509999136367,0.43368976075421556,0.45579964894312835,0.2507965011650305,0.11292186144188816,0.075968137473381,1.6781940650239227,3.901549652250629,2.3160291798998522,1.1261425192184975,1.6433848912675804,0.15664068036341458,0.7825540531966962,1.3237561197727157,1.2130217194539956,2.0835139885125473,2.6496537376724025,1.2355543838952772,0.0,1.7873484602344534,2.0375786703077097,2.014565638265414,2.5903011259254156,0.05656586779679179,0.024785088122458162,4.532894082521707,0.6653401948047696,0.9395109290468365,2.554177039571167,0.03577397197796061,0.3941252507944307,0.5725664220028136,0.020044983759075256,0.5687844400174183,0.8351907561829939,0.7505544635322241,0.5203721052926812,0.5416081328361191,6.2520066044323945,0.9479458458109014,0.6972635617147352,1.534683685065268,1.6851592927608392,0.09731718956783689,0.5947677692809324,0.4617315956984834,0.6796739792131379,0.09750390230100037,0.016037993270663204,0.04668818799961472,0.0,0.0,2.2056459085324747,4.053211716703385,1.322015562218553,0.0,0.38441108347819686,0.6857490339530987,1.05063192187934,1.258496839933956,1.589261261636093,0.7219199257788387,1.0946690375317247,0.895911629071348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q1,1.9420694929084377,1.222499592033188,1.530374493977558,2.4788170406297696,1.9344464711804554,1.0094678825745402,3.657445087610775,3.2883449641922073,1.1465837835904755,0.0,0.0,0.0,0.012755156893807016,2.611833669778151,3.514167105015245,3.5672207379592473,0.5208514357022803,0.2969514855933687,0.23598478327810993,0.07087307249478299,0.030170046465380792,2.017584831223005,5.209362538014492,1.4894081518603097,0.8746694705374659,1.9248641653273038,0.23456093542117296,1.0579896486398792,1.0231756184682952,1.3374059734931405,0.9143035586872696,1.5822193863135356,1.223747108596136,0.0933861208544342,1.6357255079738453,2.42127465246164,1.9622417032613744,2.4418385857018277,0.21192683458925357,0.006743115601890666,4.83747374274267,0.6465485684706802,1.0785873890270115,1.8243438703330457,0.048359907352959815,0.49301403414747463,0.6338571742552133,0.03492118410130531,0.7526460805928339,1.431307712440082,1.0671936172024448,0.41729261198759826,0.5227062122713124,5.9268281355397265,0.6838309307862361,0.5788416946958166,1.4816093984773282,1.003116223741234,0.19892217206831359,0.6629276223535028,0.40767877959863413,0.4805144180689047,0.0050006715112525125,0.01875961182291818,0.09326470563400356,0.008600313161804858,0.0,2.947490866593044,4.307267845928362,1.3226272500031995,0.0,0.8013881460631197,0.8700286960156831,1.24151700055454,1.217450656123194,2.041875359875089,0.8295176975986621,1.24580095834044,1.1036045316163055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q2,2.288668039045743,1.1830584755649818,1.6084562358296157,1.7731848379111113,2.321540283473057,0.9424827308868148,3.6755455400943102,2.616727158968431,1.4915131848873961,0.021635403990795964,0.0,0.005392003655224527,0.0,2.0897595609768933,2.373417276039678,2.5353080179505705,0.4794418233263314,0.4642550281495279,0.42493119863858225,0.06041735806522467,0.07879265543704747,1.9183256684930747,4.8806864851989085,2.61885700217061,1.3554723778310176,1.8445059039783815,0.1743903546028788,1.2081123393996152,1.1794838561557588,1.3138818287418763,0.7548079683872333,2.1058121575838387,1.0040843455816628,0.004316631709297666,1.871904269939432,2.2539714994256563,2.5270416472932924,2.572825777220187,0.07105120234796064,0.003559167592993529,5.407649134116785,0.6516094739368172,0.7350202507214676,3.135536945924206,0.06769733982067579,0.31923436873976463,0.7511831326603797,0.008496836838834928,0.6443577441746252,1.0702572312229222,1.0239175226703805,0.6946606498607284,0.9332602813939583,4.934684774603357,1.434873660195881,0.45466925969537675,1.4539077980068293,0.8218616620903939,0.07981832481823113,0.4355128028149068,0.5513444348802301,0.5538851985967927,0.06299215919107354,0.041175273636421365,0.0,0.032395614331876744,0.054008010105970464,2.837888548095755,3.8569976515978524,1.2443607396068161,0.013820318234185872,0.9697514583058899,0.9194407314243367,1.3202408013063427,1.256643593717009,1.7728853244890586,0.7620226463987403,1.4772496956295522,1.1170713096005616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q3,2.4113828160181794,1.551439484547871,1.6794139551292064,2.27548457531508,3.916394548160125,0.8707349001048744,3.720200594690607,3.1151219479363363,0.9267599463078523,0.0,0.0,0.0,0.008261715294430587,2.1598595202530992,3.0400600084868428,4.052852052353831,0.34773125398893895,0.35866493743618294,0.309401706604254,0.11872202555689673,0.03911245850141381,1.995256203378519,3.8236929473968875,2.942066392525079,1.3827759141876874,2.0762879850833587,0.10659071056686803,1.3803180678060971,1.4044581885843148,1.7713000620749924,0.877138933082262,1.9412391745766397,1.1646376397159783,0.0,1.7377708492108197,2.1262442431169415,2.0025288511404242,1.9801522621795151,0.07450228901208193,0.06317144810270499,5.024363013947059,0.6959208066017436,0.6890697744263191,2.2071283441970473,0.024275177819589162,0.27735721816627223,0.5081384146540254,0.061996295669233134,0.5168686033876511,1.567036442931779,1.1338647750092397,0.3996277926868517,0.47345072599389243,3.9044770420080663,0.9833298350116735,0.5815502722654678,1.4018181182596847,1.3068139779957137,0.04855643407276841,0.4503256393930375,0.32115366485048413,0.41346754357294524,0.03398647339147153,0.03241071695735248,0.01900776552382928,0.009093918589376675,0.0,2.7868625736852306,3.719310064832305,1.3609127773654484,0.0,0.6988792889480342,0.9295209201710458,0.9026970176742439,1.9142014934687768,1.6609824181868367,0.7339534567438833,1.1218380141194868,1.3340225789949405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q4,2.2339159251308116,1.6263308405030965,2.056810516809535,2.2166746748028676,2.266817371811102,0.9724785204237231,3.753405330235582,3.1937256610685716,1.0503706450749881,0.0,0.0,0.004127977342132517,0.0,2.233603862467721,2.934394975950116,2.821645758980659,0.4551798194049632,0.265610307781096,0.3701305533071748,0.09310553487643847,0.08980382441086592,2.675204816516668,4.046447104723875,1.8698675492777699,0.6818968833693924,1.5481748963440884,0.21858278085176416,1.410583005061036,1.1719936159865436,0.7247436647069023,0.663885976020673,1.571682445068555,1.2970894242575561,0.030444862453949034,2.075873738369496,1.9831751378490132,2.046819649838607,2.356656282266245,0.1266232781300037,0.04904684101649125,4.749682650502207,0.845720922716788,0.7717809864525124,2.8317642662478617,0.03295700609994591,0.3609003314199235,0.674143998120096,0.030145678336104712,0.6018443038536855,0.959220495822889,1.4001322392810558,0.427022421971565,0.8095730157117,5.491282603462049,0.5873135748051344,0.3902706612883876,2.0112003988939806,0.801261265313115,0.02897336813060612,0.5786594764042052,0.5169442734869758,0.7477235790721747,0.07770222535266187,0.06367552864858525,0.007557803454033218,0.0,0.0,4.590940120794535,3.6911815292803642,1.224908808907321,0.03365914925965179,0.8531846305792656,0.5779477905290038,1.1292133504110842,1.559777950833225,2.2560501436533413,0.765929752756963,1.2271099589223613,1.1057196867345662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q1,1.8290885546111784,1.3788087755803224,1.9857476701522243,1.8874473608795925,2.1718801202727973,0.8289215257890337,4.333210921789892,2.9116900351782475,1.3519309827059143,0.007877036339113911,0.0,0.009984187525240351,0.007534177174758069,3.3172991887182888,2.944129716008057,2.927355816887801,0.43946182975051534,0.520869564129894,0.36041453263627515,0.07378447715966116,0.10273356269997369,2.836774754702489,3.2074082278558484,2.0143108222462733,1.1358856596849531,1.6806571856860864,0.44775224499703536,1.3937887900502275,1.3752205238983424,1.0758559867313713,0.6398566613402925,1.4963539282801597,1.5588176925532127,0.08192297337393911,2.0905475002028524,2.3461915147272694,2.1530542868608147,1.506808942006393,0.13311066343629877,0.02234269515958108,5.894796085531167,0.5547829809199563,0.8293945259186266,1.9289922979649927,0.020836513785562345,0.3735445261000774,0.6464964484624293,0.041850234842736055,0.7272261351389329,1.2418144719697497,1.1634950225854541,0.3810378234648768,0.6352433146905512,6.703995198975426,0.7478672835243638,0.4945952243370784,1.5749599267333996,1.3904826071349206,0.056736981599468723,0.6021234014189667,0.28859916986968814,0.42642994809142176,0.1179854148572023,0.06765321563041458,0.023934257641730187,0.0,0.0,2.7625036379522108,3.6747812474398156,1.2864776572339662,0.006263455619873905,0.7749824139594128,0.7038861586820312,1.215161062968623,1.2654581611521356,1.7158370785692945,1.2060364334463436,0.8875424475054751,0.9793661444994042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q2,2.237158600359476,1.0391738719652404,1.4873395933509768,1.6706688745833032,2.1261194083187034,1.1843494356616104,6.1453656765173275,3.9484358054962048,1.0970601441053371,0.0,0.0,0.005705207638811561,0.0050131345257459605,1.5228028439874046,3.2347013223098755,2.9429984255901296,0.3975136311112226,0.3081838426110888,0.33955583535351225,0.09705842991371764,0.09244817882969217,2.513018776861884,3.1721524003225294,2.8115228686814633,0.9297830610662073,1.711507571126325,0.2123460126140884,1.4790304426093608,1.1887087878921494,1.2413136087815297,1.2101625306520698,0.8135474600526172,1.1761550537813295,0.08316774045367159,1.381514166528568,2.6285867895803325,3.265256509359117,2.3445005715454976,0.14218005688147436,0.045569870114305584,6.396595494732263,0.4957289271742005,0.8364195376904469,1.9198908441685654,0.05081360795827581,0.45254300065064185,0.6420969671282237,0.0,0.6022741581412399,0.9845432788030373,0.9740841428323257,0.563970175128264,0.5108219033795097,3.721457342187441,0.5467456060690564,0.3490079964124129,1.9261872530001618,1.814596065581749,0.21808512699097454,0.5152917050507925,0.45844610129074975,0.38697413544480047,0.08881467614280296,0.022553688312136506,0.03214966475445979,0.02143203127876993,0.0,2.456695314876151,4.434581123737604,1.1747963033197883,0.014832318420122394,0.6249976229548434,0.761311026256811,1.404258896228382,1.1366195422422987,2.1617955396257176,0.8810173783229199,1.1539912179734875,1.0319037446046722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q3,1.774317596500332,1.137661659432485,1.8237406275026846,2.1491603219922375,2.757680318880458,0.700779113690315,4.317725926799967,2.4058007323448414,1.0633314139064134,0.005503775053112216,0.04025234440314434,0.0,0.0,1.985629645486283,3.3884436530475175,3.437568700003229,0.5307807585746116,0.3451385244676094,0.4359674694881208,0.00998291505098619,0.060885684491033966,1.7840147203287988,4.8503894480404695,2.0207391593108035,0.6623292340987181,1.488397637137922,0.28509200067114654,1.7244738228517515,1.6961873040458604,1.384102667593483,0.8050298615594682,1.2924234161371955,1.4505938642265914,0.01808359751699219,1.7251043050593027,2.335194789653146,2.0965324139563104,2.4276352773247636,0.24427378230862692,0.01927873996156174,6.4028396605628215,0.6159540105547945,1.1275426775705473,2.6562937349935067,0.08818509078792115,0.45893423533621014,0.29459046076311757,0.010223721005632356,0.39219273085321465,1.0466591783944141,0.868305177927165,0.5530785644424924,0.43433293943520995,5.764015097287318,0.622534351904119,0.40660213481440755,2.2117784455007077,0.9905442409983981,0.07660721867807849,0.5627432892487717,0.34714631680884916,0.4964415564275364,0.107839656422025,0.009202256682442692,0.0,0.0,0.009585591146812532,2.9816611733174825,4.4831043938728286,1.0326663169869066,0.0,0.5156176945107903,0.7149359488746829,0.8803089380257345,1.3537140682904165,2.0930805911421766,0.5508521867393253,1.2189381840040263,0.9407209427908236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2.261986785516031,0.7000353453212167,1.6348387283432408,2.3481314740677517,2.7918487358362083,1.5407828954418994,4.840683001299566,3.3884443133628137,1.6805194927647458,0.0062835485739932955,0.024094529880866765,0.024547588707287783,0.011871383767097846,1.8026794547644012,2.870951036839885,4.405005783606144,0.4480707935419418,0.3113822891395865,0.27757426542955466,0.10998799127968498,0.043288683911897,2.245591056705797,3.4581768911502047,1.3024624286699344,1.2998703382400283,1.568820071147058,0.22109560070598358,1.0650229914407956,1.6399864854058213,1.105760827994537,0.705822218677665,1.6597945820464501,1.3636267674425464,0.11849518852537977,1.619736294090636,1.7675779258004225,2.4182071640813474,1.745660189936698,0.048249398379685546,0.009640718044211917,7.234457257223805,0.5240418354695905,0.6455603037998188,2.041433941152499,0.05374256700382547,0.33239440445857177,0.5899994307322463,0.08151604928219246,0.3869619183777665,1.6005824893433063,0.8668775637168287,0.6019281402726302,0.43736672205624594,5.497462149226664,0.5968150503783776,0.6979535819532708,1.3178730725752263,1.0435219036761918,0.08581816612157417,0.6076664978162098,0.3001756177760857,0.5007172661735176,0.04114331061216102,0.028844021478318337,0.03899329778702889,0.0,0.018548521174235222,2.142286785421867,5.044540641858256,1.2450361434756514,0.018187395047557606,0.55896367930911,0.5410237559122164,1.1178177488354681,1.3409712401528266,2.2328319657051914,0.7681340897416827,1.0029633867395016,0.9282428282814668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
